Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
566946460,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/conf/cloud.providers#L8,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946459,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/conf/cloud.providers.d/digitalocean.conf#L4,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946458,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/linode.rst#L44,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946457,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/releases/0.8.7.rst#L75,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946456,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/softlayer.rst#L37,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946455,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/softlayer.rst#L49,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946454,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/windows.rst#L177,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946453,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/doc/topics/cloud/windows.rst#L202,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946452,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/slack_notify.py#L15,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946451,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/slack_notify.py#L71,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946450,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/slack_notify.py#L91,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946449,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/slack_notify.py#L112,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946448,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/slack_notify.py#L146,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946447,generic.secrets.security.detected-generic-api-key.detected-generic-api-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/utils/slack.py#L15,,24:18.1,24:18.0,refs/heads/master,,,,Generic API Key detected
566946446,generic.secrets.security.detected-pgp-private-key-block.detected-pgp-private-key-block,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/rpmbuild_pkgbuild.py#L646,,24:18.1,24:18.0,refs/heads/master,,,,"Something that looks like a PGP private key block is detected. This is a potential hardcoded secret that could be leaked if this code is committed. Instead, remove this code block from the commit."
566946445,generic.secrets.security.detected-pgp-private-key-block.detected-pgp-private-key-block,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/states/pkgbuild.py#L239,,24:18.1,24:18.0,refs/heads/master,,,,"Something that looks like a PGP private key block is detected. This is a potential hardcoded secret that could be leaked if this code is committed. Instead, remove this code block from the commit."
566946444,generic.secrets.security.detected-private-key.detected-private-key,Code,High,Open,Low,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/states/file.py#L2943,,24:18.1,24:18.0,refs/heads/master,,,,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file."
566946443,python.lang.security.unverified-ssl-context.unverified-ssl-context,Code,High,Open,Medium,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/utils/vmware.py#L322,,24:18.1,24:18.0,refs/heads/master,,,,Unverified SSL context detected. This will permit insecure connections without verifying SSL certificates. Use 'ssl.create_default_context' instead.
566946442,python.lang.security.use-defused-xml-parse.use-defused-xml-parse,Code,High,Open,Medium,security,FALSE,,,,local_scan/src,https://github.com/saltstack/salt,https://github.com/saltstack/salt/blob/904d08b6ad311fd95c75004fbc3dab2b241f9ce6/salt/modules/xml.py#L35,,24:18.1,24:18.0,refs/heads/master,,,,"The native Python `xml` library is vulnerable to XML External Entity (XXE) attacks.  These attacks can leak confidential data and ""XML bombs"" can cause denial of service. Do not use this library to parse untrusted input. Instead  the Python documentation recommends using `defusedxml`."
